Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.),Geocoded Departure Station,Geocoded Return Station
2024-09-01 19:40:19,2024-09-01 19:53:58,036 Occitanie,012 Boutonnet,2460.0,816,43.46674525,44.9782454
2024-09-01 19:36:31,2024-09-01 19:44:05,015 Les Aubes,013 Emile Combes,1462.0,448,44.9765974,48.0988877
2024-09-01 19:35:31,2024-09-01 19:44:25,015 Les Aubes,019 Louis Blanc,1564.0,529,44.9765974,49.254858739999996
2024-09-01 19:34:41,2024-09-01 19:56:04,039 Aiguelongue,039 Aiguelongue,2634.0,1278,43.6331438,43.6331438
2024-09-01 19:34:31,2024-09-01 19:34:53,015 Les Aubes,015 Les Aubes,0.0,18,44.9765974,44.9765974
2024-09-01 19:32:35,2024-09-01 19:38:23,010 Rondelet,026 Renouvier,943.0,343,48.532387,42.62099
2024-09-01 19:31:41,2024-09-01 19:32:03,010 Rondelet,010 Rondelet,0.0,17,48.532387,48.532387
2024-09-01 19:30:13,2024-09-01 19:44:56,030 Charles Flahault,025 Nouveau Saint-Roch,2554.0,879,43.6207037,43.1205741
2024-09-01 19:26:14,2024-09-01 19:35:35,049 Tonnelles,023 Les Arceaux,2795.0,557,45.3878932,44.4849308
2024-09-01 19:20:53,2024-09-01 19:30:45,035 Malbosc,046 Père Soulas,2358.0,586,44.3462912,43.629507950000004
2024-09-01 19:15:43,2024-09-01 19:22:39,002 Comédie,011 Plan Cabanes,1004.0,412,43.60918635,43.608824
2024-09-01 19:14:56,2024-09-01 19:22:39,002 Comédie,011 Plan Cabanes,1039.0,460,43.60918635,43.608824
2024-09-01 19:13:53,2024-09-01 19:53:58,019 Louis Blanc,036 Occitanie,3761.0,2401,49.254858739999996,43.46674525
2024-09-01 18:57:51,2024-09-01 19:32:37,021 Port Marianne,021 Port Marianne,6336.0,2082,43.6059165,43.6059165
2024-09-01 18:55:27,2024-09-01 19:14:10,028 Saint-Denis,013 Emile Combes,2133.0,1119,48.59514509,48.0988877
2024-09-01 18:55:18,2024-09-01 19:10:24,033 Garcia Lorca,031 Voltaire,1686.0,901,-32.41872631836735,-34.767171000000005
2024-09-01 18:55:04,2024-09-01 19:10:32,033 Garcia Lorca,031 Voltaire,1703.0,925,-32.41872631836735,-34.767171000000005
2024-09-01 18:53:49,2024-09-01 19:06:00,046 Père Soulas,019 Louis Blanc,2583.0,727,43.629507950000004,49.254858739999996
2024-09-01 18:53:37,2024-09-01 20:04:12,046 Père Soulas,046 Père Soulas,9666.0,4231,43.629507950000004,43.629507950000004
2024-09-01 18:52:12,2024-09-01 19:07:25,002 Comédie,012 Boutonnet,2570.0,908,43.60918635,44.9782454
2024-09-01 18:51:54,2024-09-01 19:19:35,002 Comédie,049 Tonnelles,3585.0,1658,43.60918635,45.3878932
2024-09-01 18:48:53,2024-09-01 18:50:27,021 Port Marianne,021 Port Marianne,0.0,89,43.6059165,43.6059165
