Departure,Departure station,Return station
2024-09-25 23:56:53,019 Louis Blanc,037 FacdesSciences
2024-09-25 23:56:35,019 Louis Blanc,036 Occitanie
2024-09-25 23:55:36,019 Louis Blanc,019 Louis Blanc
2024-09-25 23:55:33,019 Louis Blanc,028 Saint-Denis
2024-09-25 23:54:22,060 Comedie Baudin,006 Place Albert 1er - St Charles
2024-09-25 23:53:13,060 Comedie Baudin,060 Comedie Baudin
2024-09-25 23:39:45,056 Albert 1er - Cath̩drale,038 Fac de Lettres
2024-09-25 23:27:57,002 Com̩die,046 P̬re Soulas
2024-09-25 23:24:51,011 Plan Cabanes,002 Com̩die
2024-09-25 23:23:43,036 Occitanie,036 Occitanie
2024-09-25 23:22:43,056 Albert 1er - Cath̩drale,010 Rondelet
2024-09-25 23:21:00,019 Louis Blanc,017 M̩diath̬que Emile Zola
2024-09-25 23:19:30,018 Nombre d'Or,029 Richter
2024-09-25 23:16:39,023 Les Arceaux,005 Corum
2024-09-25 23:16:14,012 Boutonnet,007 Foch
2024-09-25 23:11:37,002 Com̩die,031 Voltaire
2024-09-25 23:11:14,002 Com̩die,013 Emile Combes
2024-09-25 23:09:59,002 Com̩die,013 Emile Combes
2024-09-25 23:06:52,011 Plan Cabanes,012 Boutonnet


