id_local,id_osm,code_com_d,ame_d,sens_d,local_d,statut_d,code_com_g,ame_g,sens_g,statut_g,date_maj
id_loc924438206,way/924438206,34095,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34095,AUCUN,,EN SERVICE,2023-10-18
id_loc782105694,way/782105694,34095,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34095,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2023-10-18
id_loc436846673,way/436846673,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2016-08-12
id_loc378155842,way/378155842,34270,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc861293265,way/861293265,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc861293267,way/861293267,34270,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc924955937,way/924955937,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc133880450,way/133880450,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
id_loc436846675,way/436846675,34270,AUCUN,,,EN SERVICE,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2019-10-17
id_loc861293266,way/861293266,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc924955938,way/924955938,34270,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-04-01
id_loc436846678,way/436846678,34270,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34270,AUCUN,,EN SERVICE,2023-01-06
id_loc107176760,way/107176760,34270,AUCUN,,,EN SERVICE,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2023-01-06
id_loc22896474,way/22896474,34270,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34270,AUCUN,,EN SERVICE,2021-04-01
