Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-09-01 22:16:35,2024-09-01 23:06:30,006 Place Albert 1er - St Charles,006 Place Albert 1er - St Charles,3630.0,2991
2024-09-01 22:15:38,2024-09-01 22:19:08,006 Place Albert 1er - St Charles,006 Place Albert 1er - St Charles,32.0,206
2024-09-01 22:13:25,2024-09-01 22:36:40,001 Rue Jules Ferry - Gare Saint-Roch,035 Malbosc,5750.0,1390
2024-09-01 22:12:48,2024-09-01 22:58:19,018 Nombre d'Or,018 Nombre d'Or,4045.0,2727
2024-09-01 22:12:23,2024-09-01 22:57:49,018 Nombre d'Or,018 Nombre d'Or,4231.0,2721
2024-09-01 22:11:53,2024-09-01 22:58:05,018 Nombre d'Or,018 Nombre d'Or,4030.0,2768
2024-09-01 22:10:10,2024-09-01 22:25:19,001 Rue Jules Ferry - Gare Saint-Roch,006 Place Albert 1er - St Charles,1970.0,904
2024-09-01 22:09:03,2024-09-01 22:19:00,047 Place Viala,009 Observatoire,2272.0,593
2024-09-01 22:07:06,2024-09-01 22:28:06,012 Boutonnet,038 Fac de Lettres,2574.0,1256
2024-09-01 22:06:11,2024-09-01 22:06:31,012 Boutonnet,012 Boutonnet,0.0,16
2024-09-01 22:02:38,2024-09-01 22:13:02,011 Plan Cabanes,011 Plan Cabanes,1096.0,619
2024-09-01 21:57:25,2024-09-01 22:31:10,001 Rue Jules Ferry - Gare Saint-Roch,045 Jardin de la Lironde,3438.0,2007
2024-09-01 21:56:05,2024-09-01 22:31:07,001 Rue Jules Ferry - Gare Saint-Roch,045 Jardin de la Lironde,3485.0,2096
2024-09-01 21:52:16,2024-09-01 22:12:22,021 Port Marianne,040 Jeu de Mail des Abbés,3702.0,1203
2024-09-01 21:47:59,2024-09-01 21:52:30,009 Observatoire,057 Saint-Guilhem,498.0,266
2024-09-01 21:38:12,2024-09-01 21:46:54,040 Jeu de Mail des Abbés,002 Comédie,1756.0,517
2024-09-01 21:36:31,2024-09-01 21:44:53,012 Boutonnet,007 Foch,1415.0,499
2024-09-01 21:34:48,2024-09-01 21:55:09,009 Observatoire,004 Hôtel de Ville,2131.0,1218
2024-09-01 21:34:26,2024-09-01 21:55:05,009 Observatoire,004 Hôtel de Ville,2262.0,1236
2024-09-01 21:34:10,2024-09-02 21:35:56,039 Aiguelongue,060 Comedie Baudin,2973.0,1291
2024-09-01 21:33:25,2024-09-01 22:07:47,037 FacdesSciences,029 Richter,5405.0,2058
2024-09-01 21:32:47,2024-09-01 22:08:21,037 FacdesSciences,029 Richter,5403.0,2130
2024-09-01 21:32:25,2024-09-01 21:55:36,039 Aiguelongue,060 Comedie Baudin,2662.0,1384
2024-09-01 21:31:57,2024-09-03 00:45:44,039 Aiguelongue,060 Comedie Baudin,2689.0,1435
2024-09-01 21:31:51,2024-09-01 21:47:30,036 Occitanie,038 Fac de Lettres,2219.0,935
2024-09-01 21:30:54,2024-09-01 21:47:28,036 Occitanie,038 Fac de Lettres,2223.0,989
2024-09-01 21:30:42,2024-09-01 21:31:06,036 Occitanie,036 Occitanie,0.0,19
2024-09-01 21:24:10,2024-09-01 21:40:47,006 Place Albert 1er - St Charles,037 FacdesSciences,2233.0,993
2024-09-01 21:23:10,2024-09-01 21:43:25,006 Place Albert 1er - St Charles,037 FacdesSciences,2172.0,1211
2024-09-01 21:22:57,2024-09-01 21:34:11,025 Nouveau Saint-Roch,020 Gambetta,2144.0,670
2024-09-01 21:22:32,2024-09-01 21:56:44,006 Place Albert 1er - St Charles,036 Occitanie,3704.0,2048
2024-09-01 21:20:56,2024-09-01 21:22:43,025 Nouveau Saint-Roch,025 Nouveau Saint-Roch,55.0,103
2024-09-01 21:16:33,2024-09-01 21:56:28,056 Albert 1er - Cathédrale,036 Occitanie,4073.0,2390
2024-09-01 21:15:39,2024-09-01 21:41:26,056 Albert 1er - Cathédrale,037 FacdesSciences,2470.0,1542
2024-09-01 21:14:56,2024-09-01 21:26:11,008 Halles Castellane,040 Jeu de Mail des Abbés,1408.0,671
2024-09-01 21:13:49,2024-09-01 21:55:40,002 Comédie,036 Occitanie,6036.0,2506
2024-09-01 21:12:23,2024-09-01 21:55:07,002 Comédie,036 Occitanie,6032.0,2560
2024-09-01 21:09:40,2024-09-01 23:16:03,055 Pérols Etang de l'Or,055 Pérols Etang de l'Or,0.0,7579
2024-09-01 21:07:16,2024-09-01 23:15:58,055 Pérols Etang de l'Or,055 Pérols Etang de l'Or,8850.0,7717
2024-09-01 21:06:21,2024-09-01 23:15:50,055 Pérols Etang de l'Or,055 Pérols Etang de l'Or,9536.0,7765
2024-09-01 21:04:45,2024-09-01 21:07:58,055 Pérols Etang de l'Or,055 Pérols Etang de l'Or,157.0,189
2024-09-01 20:57:03,2024-09-01 21:24:34,043 Sabines,009 Observatoire,4357.0,1646
